"tstep","state","x","y","vx","vy","sx","sy","svx","svy","sax","say","sjx","sjy","fx","fy","blk_tri"
841,8,-0.00105899999999999,0.134726,-0.005957,0.003082,-0.00105939978177712,0.134713586738829,0.00514688975316912,-0.00279250955187352,-0.0509491819432429,0.0452757282691159,-0.606605701478134,-1.96241230626728,0,0,3
846,8,-0.00103499999999999,0.134714,-0.005957,0.003081,-0.00103388368415582,0.13470084142379,0.00489988091668335,-0.0025689979957291,-0.0547670888060359,0.033233382920745,-0.487901276500675,-2.15508966479592,0,0,3
851,8,-0.001012,0.134696,-0.003838,0.002945,-0.00101001634773058,0.134689412674009,0.00463302477181743,-0.00244103739797156,-0.0569575926097979,0.0191743588487032,-0.357608969496959,-2.28466118647071,0,0,3
856,8,-0.000991999999999993,0.134682,-0.004053,0.002945,-0.000987759044293371,0.134678379351298,0.00435127472640431,-0.00238947461630559,-0.0578241260349522,0.00469472491036083,-0.219623714585662,-2.38194712536719,0,0,3
861,8,-0.000968999999999998,0.134664,-0.003865,0.003571,-0.000967134417540854,0.134667477805546,0.00406205641815068,-0.002422925630329,-0.0574350598457662,-0.0103984057641044,-0.0806218833148057,-2.43781955096493,0,0,3
866,8,-0.000948999999999992,0.134645,-0.003866,0.003895,-0.00094799428020842,0.134656107487644,0.00377092622484598,-0.00253546898280735,-0.0562689918948261,-0.0254264486546414,0.0558629512890875,-2.46274317649726,0,0,3
871,8,-0.00093,0.134631,-0.003866,0.003895,-0.000930375259567903,0.13464388342372,0.00348559140163238,-0.00272685983524745,-0.0542305189181488,-0.0402294428858845,0.183703737355772,-2.4589181547688,0,0,3
876,8,-0.000913999999999998,0.134615,-0.003866,0.003895,-0.000914164096351007,0.134630991415965,0.00321614488351557,-0.00301712284682733,-0.0515435340519199,-0.0563591006326281,0.292898361055785,-2.3964785807084,0,0,3
881,8,-0.000898999999999997,0.1346,-0.003866,0.003895,-0.000899233210883522,0.134617202970201,0.00296909239050084,-0.0034235986073874,-0.048411277952279,-0.074281568000401,0.378092443165931,-2.24564825619993,0,0,3
886,8,-0.000882999999999995,0.134584,-0.003866,0.003894,-0.000885592513557904,0.134601548817595,0.00274109190454532,-0.00390322597320401,-0.0446025044423864,-0.092371316014773,0.446880666268315,-2.05701428645087,0,0,3
891,8,-0.000867999999999994,0.134569,-0.003866,0.003894,-0.000872991270459397,0.134583255199768,0.00253181625789083,-0.00444748160645154,-0.0406399573919261,-0.109189935365981,0.501909030984649,-1.83655044555437,0,0,3
896,8,-0.000855999999999996,0.134557,-0.001934,0.001947,-0.000861343144671054,0.134562234262071,0.00234767201772278,-0.00507185352354417,-0.0365386451481297,-0.125303808219481,0.536348417464876,-1.55361380281144,0,0,3
901,8,-0.000848999999999989,0.134544,-0.001933,0.001947,-0.000850631071883515,0.134538364280954,0.00219044801502879,-0.0057728788143567,-0.0320937150678759,-0.141124978175293,0.548913422136116,-1.201913212314,0,0,3
906,8,-0.000837999999999992,0.134521,-0.001772,0.001947,-0.000840723867422562,0.134510983807946,0.00205858408241911,-0.00651589823242364,-0.0273982899261489,-0.155406720641075,0.541641906723996,-0.815382539947777,0,0,3
911,8,-0.000830999999999998,0.134497,-0.001772,0.00471,-0.000831564375662822,0.134479685020518,0.00194658253456902,-0.00729055709489577,-0.0223991219324226,-0.16732997123371,0.521143455523614,-0.395062124679043,0,0,3
916,8,-0.000824999999999992,0.134461,-0.001772,0.00471,-0.000822917141818973,0.134444023863753,0.0018564835775836,-0.00809098427638703,-0.0175180335245869,-0.17589727104624,0.483706563531084,0.06406674347636,0,0,3
921,8,-0.000814999999999996,0.134416,-0.001745,0.00534,-0.000814740702322455,0.134403799094749,0.00178663951603094,-0.00890359348007755,-0.0126660896189521,-0.180626234338293,0.430067202051291,0.556217424366679,0,0,3
926,8,-0.000809999999999991,0.13437,-0.00161,0.007474,-0.000806866715368165,0.134358508936017,0.00173300245122895,-0.0096985551044772,-0.00812927152217053,-0.180004872917523,0.363687558920049,1.05305156288919,0,0,3
931,8,-0.000800999999999996,0.134314,-0.00161,0.007799,-0.000798643172807701,0.134308162954502,0.0016964176018868,-0.0105397501588733,-0.00556246159646197,-0.173871941094348,0.282277715584713,1.65438578085974,0,0,3
936,8,-0.000792000000000001,0.134253,-0.001447,0.010238,-0.000790225195953531,0.134253328736807,0.00167176480891328,-0.0113856571206578,-0.00437244686082062,-0.163936259450656,0.193728182023573,2.31988685528202,0,0,3
941,8,-0.000786999999999996,0.134195,-0.001341,0.010238,-0.00078191745270152,0.134194403045193,0.00165195522053869,-0.0121735669113977,-0.00362517978113881,-0.1506730725125,0.105178648460394,2.98538792970001,0,0,3
946,8,-0.000778000000000001,0.134139,-0.001282,0.013001,-0.000773701261311076,0.134131717458896,0.00163477509838167,-0.0128868420039681,-0.00332066037995288,-0.13408238012204,0.0166291147266655,3.65088900542781,0,0,3
951,8,-0.000769999999999993,0.134072,-0.001279,0.013001,-0.000765569008847784,0.134065686745614,0.00161801070394674,-0.0135088448702317,-0.00345888863299648,-0.114164182466171,-0.0719204186159101,4.31639007810037,0,0,3
956,8,-0.000761999999999999,0.134,-0.001276,0.013001,-0.000757524150944589,0.133996808859678,0.00159944829922697,-0.0140229379860181,-0.00403986455987973,-0.0909184793909862,-0.160469952189775,4.9818911525646,0,0,3
961,8,-0.000753999999999991,0.133927,-0.001175,0.013001,-0.00074958121207627,0.133925664944312,0.00157687414551809,-0.0144124838213817,-0.00506358815825331,-0.0643452709106729,-0.24901948580009,5.64739222736367,0,0,3
966,8,-0.000742999999999994,0.133834,-0.001086,0.015135,-0.000741765785295287,0.133852919329406,0.00154807450488163,-0.0146608448530301,-0.0065300594141802,-0.0344445571533258,-0.337569019441855,6.31289330250831,0,0,3
971,8,-0.000735,0.133762,-0.00098,0.015134,-0.000734114532478332,0.133779319533726,0.00151083563845554,-0.014751383549219,-0.00843927835968226,-0.00121633781571351,-0.426118553171213,6.97839437856919,0,0,3
976,8,-0.000726999999999992,0.133689,-0.00098,0.015134,-0.000726675183830891,0.133705696260139,0.00146294380858399,-0.0146674623897025,-0.0107912449436851,0.0353393866076361,-0.514668086366526,7.64389544936063,0,0,3
981,8,-0.000717999999999996,0.133633,-0.000976,0.015134,-0.000719506538931641,0.133632963405868,0.0014021852767214,-0.0143924438457402,-0.0135859592145546,0.0752226165911392,-0.603217620216002,8.30939652660629,0,0,3
986,8,-0.000710999999999989,0.13355,-0.001078,0.013,-0.000712678465231265,0.133562118047567,0.00132634630350818,-0.0139096903799196,-0.0168234211574016,0.118433351993719,-0.691767153702468,8.97489760029595,0,0,3
991,8,-0.000701999999999994,0.133489,-0.001267,0.013,-0.000706271899505455,0.133494240455937,0.00123321315059199,-0.0132025644646688,-0.0205036307840527,0.16497159294077,-0.780316687634622,9.64039867856872,0,0,3
996,8,-0.000694,0.133427,-0.001267,0.013,-0.000700378846916723,0.133430494086184,0.00112057208368017,-0.0122544286167705,-0.0246265880148489,0.214837338575308,-0.868866220717111,10.3058997477914,0,0,3
1001,8,-0.000691999999999998,0.13339,-0.001295,0.012675,-0.000695102381378495,0.133372125581741,0.000986209359272724,-0.0110486452539478,-0.0291922929568485,0.268030590048191,-0.957415754406153,10.9714008234116,0,0,3
1006,8,-0.000686999999999993,0.133333,-0.001432,0.01056,-0.00069055664558684,0.133320464774691,0.000827911240580936,-0.00956857686556956,-0.0342007455808568,0.324551347058804,-1.04596528820318,11.6369019006218,0,0,3
1011,8,-0.000685999999999992,0.13329,-0.001432,0.010236,-0.000686866850816404,0.133276924683494,0.000643463990941874,-0.00779758594432767,-0.0396519458395587,0.384399609059557,-1.13451482161734,12.302402973374,0,0,3
1016,8,-0.00068399999999999,0.133253,-0.001459,0.008427,-0.000684169277079893,0.133243001514733,0.0004306538701292,-0.00571903494173764,-0.045545893783739,0.447575376639335,-1.22306435517875,12.9679040478488,0,0,3
1021,8,-0.000685999999999992,0.133225,0.000338,0.007642,-0.000682611273146497,0.13322027466358,0.000187267139972969,-0.00331628633136394,-0.0518825893910494,0.514078649522904,-1.31161388867875,13.6334051211494,0,0,3
1026,8,-0.000687999999999994,0.133192,0.000338,0.005527,-0.000682351256301829,0.133210406710611,-8.8909936947241e-05,-0.000572702598263919,-0.0586620326711327,0.583909427844059,-1.40016342230573,14.2989061961158,0,0,3
1,6,0.004105,-0.002081,0,0,0.00409430119534407,-0.0020498081600527,0.00233133759152126,-0.0048490705185597,-0.0736662058155524,0.18925680068702,1.76988235490997,-2.10281917932267,0,0,4
6,6,0.00411,-0.002085,0,0,0.00410507346534957,-0.00207173147607112,0.00198475970924344,-0.003928963431969,-0.0650390207989053,0.178807692671345,1.68099165012731,-2.07682402243879,0,0,4
11,6,0.00411400000000001,-0.00208799999999998,0,0,0.00411421883402639,-0.00208918432922162,0.00168020662532588,-0.00306077696015566,-0.0568562893220667,0.168488560469995,1.59210094350208,-2.05082886180121,0,0,4
16,6,0.00411800000000001,-0.00209199999999998,0,0,0.00412194186921595,-0.00210242469699293,0.0014154560593689,-0.00224386119991809,-0.0491180113215519,0.15829940397615,1.50321023711157,-2.02483370173448,0,0,4
21,6,0.004122,-0.00209500000000001,0,0,0.00412843602839792,-0.00211170730920996,0.00118828575483388,-0.00147756629114266,-0.0418241869290186,0.148240223406875,1.41431953120064,-1.99883854242051,0,0,4
26,6,0.004126,-0.00209900000000002,0,0,0.00413388365673939,-0.00211728364477036,0.000996473436090163,-0.00076124234216745,-0.0349748160485913,0.138311018597039,1.32542882522882,-1.97284338287526,0,0,4
31,6,0.004135,-0.002106,0,0,0.00413845598884967,-0.00211940193420684,0.000837796837468142,-9.42394780257201e-05,-0.0285698986719754,0.128511789567843,1.23653811891994,-1.94684822307821,0,0,4
